Bigram,Probability
ready to,-6.974
which he,-6.976
when they,-6.982
or two,-6.983
Ah <eos>,-6.993
<sos> This,-6.995
to you,-6.995
with them,-6.995
be sure,-6.997
and his,-6.999
by a,-6.999
Miss Dashwood,-7.0
rest of,-7.003
time <eos>,-7.014
you would,-7.015
Emma was,-7.017
Mrs Ferrars,-7.017
nothing but,-7.02
<sos> If,-7.023
on his,-7.023
likely to,-7.026
I would,-7.027
the house,-7.029
the other,-7.029
the whole,-7.029
of Mr,-7.035
his wife,-7.038
opinion of,-7.038
come to,-7.039
not think,-7.039
in their,-7.046
might not,-7.047
of being,-7.048
it will,-7.053
that is,-7.056
were not,-7.057
talked of,-7.061
about the,-7.062
and to,-7.062
are not,-7.062
much as,-7.062
them all,-7.066
Mrs Clay,-7.067
Mrs Smith,-7.067
Elinor s,-7.068
time to,-7.068
know what,-7.07
I believe,-7.077
Marianne s,-7.077
you and,-7.078
after a,-7.079
John Knightley,-7.082
a moment,-7.085
of my,-7.087
the most,-7.09
it had,-7.091
what was,-7.092
am not,-7.094
away <eos>,-7.094
know that,-7.098
she did,-7.1
<sos> In,-7.101
and it,-7.101
in my,-7.101
He is,-7.102
My dear,-7.102
the room,-7.102
at once,-7.106
have done,-7.11
her in,-7.11
need not,-7.113
when the,-7.117
been so,-7.122
which I,-7.126
which was,-7.126
my own,-7.128
in love,-7.138
he should,-7.14
to a,-7.14
more <eos>,-7.142
degree of,-7.146
us <eos>,-7.147
full of,-7.148
now <eos>,-7.149
have had,-7.157
have the,-7.157
before <eos>,-7.159
not a,-7.159
Mr and,-7.16
that they,-7.16
<UNK> her,-7.162
nothing of,-7.163
for I,-7.164
I did,-7.165
you were,-7.167
It would,-7.171
it all,-7.171
Mrs Musgrove,-7.172
thought it,-7.175
what you,-7.176
to his,-7.178
to think,-7.178
at Hartfield,-7.18
only to,-7.18
<sos> My,-7.184
but a,-7.184
enough for,-7.185
said Elinor,-7.185
way <eos>,-7.185
began to,-7.186
you to,-7.19
kind of,-7.196
This was,-7.198
him in,-7.198
with me,-7.2
I dare,-7.201
by his,-7.202
much more,-7.202
sure I,-7.203
fond of,-7.206
he might,-7.21
Do not,-7.212
every day,-7.212
said <eos>,-7.214
<UNK> as,-7.223
of them,-7.226
<sos> What,-7.228
your own,-7.235
Weston s,-7.238
said Emma,-7.244
not the,-7.245
felt that,-7.246
go to,-7.249
who was,-7.25
Miss Smith,-7.253
at first,-7.258
at present,-7.258
those who,-7.261
you may,-7.262
not been,-7.268
love with,-7.269
ma am,-7.269
than I,-7.269
any other,-7.272
no doubt,-7.272
Edward s,-7.273
she might,-7.275
Captain Benwick,-7.278
upon the,-7.279
sorry to,-7.281
through the,-7.282
over the,-7.283
better than,-7.284
was all,-7.284
was no,-7.284
its being,-7.286
of Mrs,-7.286
we shall,-7.286
doubt of,-7.289
has not,-7.289
himself <eos>,-7.29
<sos> We,-7.296
it must,-7.3
a most,-7.302
Emma could,-7.306
<sos> His,-7.307
<UNK> by,-7.309
<UNK> for,-7.309
man of,-7.309
Mrs Goddard,-7.315
of what,-7.316
reason to,-7.316
what he,-7.328
and Mr,-7.33
and was,-7.33
the subject,-7.331
their own,-7.332
be <UNK>,-7.333
for me,-7.334
am very,-7.335
so <UNK>,-7.336
Emma <eos>,-7.339
her <UNK>,-7.341
man <eos>,-7.343
to go,-7.343
knowledge of,-7.344
is to,-7.348
of him,-7.348
being in,-7.35
see her,-7.353
see him,-7.353
with such,-7.354
with you,-7.354
other <eos>,-7.355
wanted to,-7.356
much of,-7.357
much to,-7.357
all my,-7.362
life <eos>,-7.363
so many,-7.366
half a,-7.369
There is,-7.371
cannot be,-7.377
Anne s,-7.383
friend <eos>,-7.387
you do,-7.39
<sos> How,-7.391
all this,-7.392
sister <eos>,-7.402
thing to,-7.402
This is,-7.405
be done,-7.406
been the,-7.406
by any,-7.407
here <eos>,-7.408
myself <eos>,-7.409
time of,-7.411
<sos> Yes,-7.416
done <eos>,-7.418
Anne was,-7.419
that was,-7.419
home and,-7.42
I suppose,-7.421
this is,-7.423
we are,-7.423
we have,-7.423
no longer,-7.427
of this,-7.429
but as,-7.432
is no,-7.436
said Mrs,-7.436
with his,-7.438
for ever,-7.441
I thought,-7.442
and so,-7.443
and when,-7.443
his father,-7.446
she must,-7.448
wish to,-7.45
drawing room,-7.457
meant to,-7.457
before the,-7.459
room <eos>,-7.459
so <eos>,-7.459
so well,-7.459
was now,-7.46
of any,-7.463
of such,-7.463
Marianne was,-7.464
They had,-7.465
<sos> Anne,-7.467
are very,-7.468
you think,-7.472
told me,-7.474
world <eos>,-7.48
of your,-7.481
or other,-7.483
Miss Elliot,-7.486
I assure,-7.487
few minutes,-7.487
my father,-7.491
my mother,-7.491
so long,-7.492
it but,-7.493
own <eos>,-7.493
home <eos>,-7.496
that her,-7.498
way to,-7.499
an <UNK>,-7.501
been in,-7.503
give her,-7.506
like to,-7.507
was quite,-7.507
be more,-7.509
make it,-7.509
and then,-7.511
far as,-7.511
sure you,-7.517
her husband,-7.519
from his,-7.52
<UNK> it,-7.524
s <eos>,-7.524
in spite,-7.528
without any,-7.528
Harriet <eos>,-7.532
any of,-7.535
before she,-7.535
see you,-7.536
nothing <eos>,-7.539
Marianne <eos>,-7.54
not in,-7.54
mother and,-7.546
and with,-7.547
in all,-7.553
in which,-7.553
possible <eos>,-7.555
And I,-7.557
more and,-7.557
she should,-7.557
well and,-7.557
She is,-7.558
they would,-7.559
together <eos>,-7.559
to hear,-7.563
though she,-7.565
me and,-7.57
have heard,-7.572
before her,-7.574
happy to,-7.574
thousand pounds,-7.578
if it,-7.579
in it,-7.579
appearance of,-7.58
thinking of,-7.585
at a,-7.587
<sos> That,-7.589
course of,-7.589
with us,-7.59
shall not,-7.591
very little,-7.592
known to,-7.593
to come,-7.597
my word,-7.598
between them,-7.599
it might,-7.6
know <eos>,-7.6
feel that,-7.602
<sos> To,-7.603
were all,-7.604
left her,-7.605
You have,-7.612
her that,-7.617
be <eos>,-7.62
house <eos>,-7.623
but in,-7.624
not at,-7.624
he said,-7.625
power of,-7.626
care of,-7.628
determined to,-7.628
sense of,-7.628
I wish,-7.629
Mr Frank,-7.629
<UNK> with,-7.631
<sos> Well,-7.632
Elton <eos>,-7.632
Knightley <eos>,-7.634
Elinor was,-7.639
whom she,-7.639
time and,-7.64
know how,-7.641
her with,-7.642
one <eos>,-7.643
of its,-7.646
this morning,-7.646
what is,-7.65
such as,-7.651
how to,-7.653
the rest,-7.656
it in,-7.657
in <UNK>,-7.658
in such,-7.658
in this,-7.658
Captain Harville,-7.66
as possible,-7.666
house and,-7.666
equal to,-7.67
into a,-7.672
regard for,-7.673
mean to,-7.675
talk of,-7.675
they could,-7.675
wished to,-7.675
account of,-7.677
Miss Taylor,-7.678
be no,-7.679
it as,-7.686
speak of,-7.686
was at,-7.686
good <eos>,-7.69
man and,-7.691
may have,-7.691
without the,-7.693
but not,-7.695
and all,-7.699
said Mr,-7.699
when you,-7.702
happy <eos>,-7.703
him that,-7.705
just as,-7.706
of that,-7.706
there <eos>,-7.706
to Mrs,-7.706
opportunity of,-7.709
advantage of,-7.711
was <UNK>,-7.713
for any,-7.715
for she,-7.715
thing that,-7.715
afraid of,-7.716
young ladies,-7.717
young woman,-7.717
you had,-7.718
up the,-7.72
her as,-7.722
gave her,-7.725
under the,-7.725
else <eos>,-7.727
all his,-7.729
but that,-7.731
think I,-7.733
that there,-7.734
pleasure of,-7.735
s <UNK>,-7.736
s being,-7.736
<sos> As,-7.738
his being,-7.739
was too,-7.741
in town,-7.742
so little,-7.742
not <eos>,-7.744
it could,-7.746
moment <eos>,-7.748
for you,-7.749
Elliot <eos>,-7.75
Elliot s,-7.75
Woodhouse s,-7.752
<sos> CHAPTER,-7.753
instead of,-7.753
way of,-7.754
style of,-7.756
long as,-7.757
sight of,-7.758
he must,-7.759
thing in,-7.759
and of,-7.76
pleased with,-7.763
to speak,-7.763
to take,-7.763
Do you,-7.765
me that,-7.768
any one,-7.769
she found,-7.77
she has,-7.77
she saw,-7.77
Mrs <eos>,-7.771
in every,-7.771
name of,-7.771
much in,-7.772
coming to,-7.774
far from,-7.774
made a,-7.774
his mother,-7.775
what a,-7.775
<UNK> from,-7.777
Charles Hayter,-7.777
right to,-7.777
which must,-7.778
than he,-7.779
than the,-7.779
than to,-7.779
tell me,-7.78
If I,-7.781
Willoughby s,-7.783
a woman,-7.783
for my,-7.784
heart <eos>,-7.785
if they,-7.789
the time,-7.79
some of,-7.796
would never,-7.796
more to,-7.798
say <eos>,-7.798
She would,-7.799
on a,-7.8
Upon my,-7.803
she felt,-7.803
them in,-7.803
at this,-7.804
ashamed of,-7.805
her a,-7.806
her friend,-7.806
all to,-7.807
<UNK> on,-7.808
not you,-7.808
seem to,-7.808
beginning to,-7.809
himself and,-7.809
the next,-7.81
Knightley and,-7.815
point of,-7.816
never been,-7.819
who could,-7.82
Weston was,-7.823
good deal,-7.823
others <eos>,-7.823
to Mr,-7.823
side of,-7.825
looked at,-7.83
with Mr,-7.834
place <eos>,-7.835
when it,-7.835
as her,-7.836
she knew,-7.837
we were,-7.838
feelings of,-7.84
not so,-7.841
and if,-7.847
and though,-7.847
mind <eos>,-7.85
<sos> When,-7.852
attached to,-7.853
come <eos>,-7.853
trying to,-7.854
me in,-7.856
necessary to,-7.859
you can,-7.859
anxious to,-7.86
up to,-7.862
little <UNK>,-7.863
among the,-7.865
him for,-7.865
Mr Martin,-7.87
That is,-7.871
next day,-7.873
may not,-7.877
from him,-7.878
quite as,-7.878
acquaintance <eos>,-7.879
down to,-7.88
how much,-7.882
are all,-7.883
soon afterwards,-7.883
half an,-7.884
had done,-7.885
on that,-7.885
to herself,-7.885
before he,-7.886
by no,-7.886
or any,-7.886
Fairfax <eos>,-7.888
am afraid,-7.888
going on,-7.888
only a,-7.888
and they,-7.892
while she,-7.892
in general,-7.894
hope of,-7.895
still more,-7.896
Mrs Croft,-7.9
Mrs Palmer,-7.9
me I,-7.901
over <eos>,-7.902
<sos> said,-7.904
that Mr,-7.904
be at,-7.906
be of,-7.906
she will,-7.907
which her,-7.907
Goddard s,-7.908
him as,-7.908
him but,-7.908
it with,-7.908
this time,-7.909
Robert Martin,-7.91
not but,-7.91
view of,-7.91
make the,-7.911
know it,-7.912
air of,-7.913
But you,-7.914
met with,-7.914
such <UNK>,-7.914
Knightley s,-7.915
power to,-7.916
the two,-7.916
object of,-7.918
being a,-7.919
returned to,-7.919
Weston and,-7.922
had seen,-7.922
next morning,-7.925
of course,-7.925
her mind,-7.926
without a,-7.93
between the,-7.931
speak to,-7.931
In the,-7.932
Anne had,-7.933
all and,-7.933
is quite,-7.933
no one,-7.933
no other,-7.933
and had,-7.938
see them,-7.938
the others,-7.938
they will,-7.938
<sos> Marianne,-7.939
morning <eos>,-7.94
something to,-7.94
that could,-7.941
it for,-7.943
moment s,-7.948
of every,-7.949
which the,-7.953
They are,-7.958
this was,-7.958
Mr Willoughby,-7.96
in short,-7.96
time for,-7.961
aware of,-7.962
make a,-7.963
Elton was,-7.964
allowed to,-7.966
at any,-7.969
matter of,-7.97
think you,-7.97
said I,-7.971
sure of,-7.971
CHAPTER <UNK>,-7.972
appeared to,-7.973
his <UNK>,-7.973
made him,-7.973
<UNK> at,-7.974
<UNK> that,-7.974
Bath <eos>,-7.975
on <eos>,-7.975
you see,-7.975
is <eos>,-7.976
have made,-7.977
will have,-7.977
attention to,-7.978
that Mrs,-7.978
that a,-7.978
that his,-7.978
that if,-7.978
Russell s,-7.979
want to,-7.98
Hartfield <eos>,-7.981
brother and,-7.982
gone <eos>,-7.983
the party,-7.983
more of,-7.984
very soon,-7.984
there were,-7.986
whole of,-7.986
Harriet Smith,-7.987
a young,-7.988
most <UNK>,-7.988
only of,-7.988
Colonel Campbell,-7.992
off <eos>,-7.993
till the,-7.994
body else,-7.996
John Dashwood,-7.997
too <eos>,-7.997
same time,-7.998
hope you,-8.002
the door,-8.006
friend and,-8.008
go and,-8.008
better <eos>,-8.01
for some,-8.012
Elinor <eos>,-8.014
be as,-8.016
during the,-8.016
But it,-8.017
but you,-8.017
expectation of,-8.017
make her,-8.018
never have,-8.018
to it,-8.018
to marry,-8.018
tried to,-8.018
who have,-8.019
from any,-8.02
have thought,-8.02
not do,-8.02
was obliged,-8.021
Such a,-8.022
by Mr,-8.023
sister and,-8.023
behaviour to,-8.026
sure <eos>,-8.026
sure it,-8.026
night <eos>,-8.027
ever <eos>,-8.029
he will,-8.029
no means,-8.029
the last,-8.029
went to,-8.029
beyond the,-8.03
seeing him,-8.031
either of,-8.032
or <UNK>,-8.033
and Miss,-8.036
had ever,-8.037
there had,-8.038
they must,-8.038
You must,-8.041
soon after,-8.041
Mrs Churchill,-8.042
Mrs Cole,-8.042
Mrs John,-8.042
to feel,-8.042
to know,-8.042
to them,-8.042
Emma had,-8.043
pleasure in,-8.045
party <eos>,-8.047
He has,-8.048
left the,-8.049
almost every,-8.05
look at,-8.05
a friend,-8.052
it a,-8.053
the present,-8.053
wish of,-8.054
Mr John,-8.057
not like,-8.058
saw her,-8.058
upon my,-8.061
and therefore,-8.062
last night,-8.063
even to,-8.064
in law,-8.064
away and,-8.065
an old,-8.068
<sos> Miss,-8.071
But she,-8.071
by this,-8.072
capable of,-8.073
consciousness of,-8.076
my heart,-8.076
good will,-8.077
s and,-8.077
the best,-8.078
no <UNK>,-8.079
sat down,-8.082
were the,-8.082
with Mrs,-8.082
with great,-8.082
forward to,-8.083
two or,-8.083
<UNK> a,-8.084
bear to,-8.084
a word,-8.085
talking of,-8.085
and Emma,-8.088
change of,-8.089
The <UNK>,-8.09
affection for,-8.09
against the,-8.091
interest in,-8.091
man who,-8.091
though I,-8.091
though it,-8.091
To be,-8.092
could do,-8.092
her eyes,-8.092
so far,-8.093
him a,-8.095
how it,-8.096
soon <eos>,-8.097
told her,-8.098
she thought,-8.1
you I,-8.1
subject <eos>,-8.101
evening <eos>,-8.102
at that,-8.106
Miss Steele,-8.107
Mr Palmer,-8.107
believe it,-8.109
but when,-8.11
have seen,-8.11
<sos> Do,-8.112
as far,-8.113
heard of,-8.114
is in,-8.114
this moment,-8.115
a letter,-8.119
what it,-8.119
<UNK> I,-8.122
<UNK> or,-8.122
<UNK> she,-8.122
been <UNK>,-8.122
been at,-8.122
their being,-8.124
Elinor could,-8.125
very great,-8.126
But the,-8.128
with an,-8.128
with some,-8.128
dear Emma,-8.13
like a,-8.131
young lady,-8.132
Camden Place,-8.134
after all,-8.138
in that,-8.138
disposed to,-8.139
day and,-8.14
or the,-8.14
to my,-8.14
for he,-8.141
for their,-8.141
could never,-8.142
convinced that,-8.143
ever since,-8.144
they should,-8.144
Weston <eos>,-8.145
attachment to,-8.149
quite a,-8.151
talk to,-8.151
again to,-8.152
which a,-8.152
<sos> So,-8.153
a day,-8.154
of an,-8.155
of mind,-8.155
Anne could,-8.156
hour of,-8.156
comfort of,-8.157
but her,-8.159
but still,-8.159
but there,-8.159
but to,-8.159
happiness of,-8.159
whom he,-8.159
we had,-8.16
If he,-8.164
her but,-8.164
Churchill s,-8.166
Jennings s,-8.166
both <eos>,-8.166
was only,-8.166
was that,-8.166
cried Emma,-8.169
left to,-8.169
believe that,-8.17
Fairfax and,-8.172
body s,-8.173
much <eos>,-8.173
woman <eos>,-8.174
No no,-8.175
by it,-8.175
on which,-8.175
what they,-8.176
in an,-8.177
in one,-8.177
in time,-8.177
very <UNK>,-8.177
very true,-8.177
now I,-8.179
the young,-8.179
than her,-8.18
having been,-8.182
my life,-8.183
mind to,-8.184
indeed I,-8.185
for Mr,-8.187
for them,-8.187
come and,-8.188
a year,-8.189
do it,-8.189
to all,-8.191
being so,-8.192
himself to,-8.193
young people,-8.193
so I,-8.196
up and,-8.196
or a,-8.197
or three,-8.197
more <UNK>,-8.198
I may,-8.201
day or,-8.201
they might,-8.201
<UNK> were,-8.202
After a,-8.204
if the,-8.204
made no,-8.204
resolved to,-8.204
danger of,-8.205
the Miss,-8.205
the day,-8.205
the evening,-8.205
appear to,-8.206
at Randalls,-8.206
entered the,-8.206
out <eos>,-8.207
round the,-8.208
he replied,-8.21
only one,-8.21
use to,-8.21
of <eos>,-8.212
true <eos>,-8.214
married <eos>,-8.215
Anne <eos>,-8.217
Harriet was,-8.218
to their,-8.218
be able,-8.22
we must,-8.222
Miss Steeles,-8.223
other people,-8.224
with any,-8.224
and Elinor,-8.225
a week,-8.226
that in,-8.226
on my,-8.229
replied Elinor,-8.229
by such,-8.23
Wentworth s,-8.232
from it,-8.234
Dashwood <eos>,-8.236
an end,-8.238
an excellent,-8.238
feelings <eos>,-8.238
you for,-8.238
you should,-8.238
you that,-8.238
than a,-8.239
her for,-8.24
of some,-8.241
was always,-8.244
to any,-8.245
upon it,-8.246
were in,-8.246
many years,-8.248
room and,-8.248
away from,-8.249
enough <eos>,-8.249
house in,-8.251
him at,-8.252
had passed,-8.253
and every,-8.254
father <eos>,-8.255
Mrs Bates,-8.256
dear Miss,-8.256
give him,-8.256
give you,-8.256
or not,-8.256
in Bath,-8.257
She must,-8.259
which they,-8.263
be happy,-8.264
Maple Grove,-8.265
if not,-8.265
is an,-8.266
possibility of,-8.266
due to,-8.269
forced to,-8.269
fixed on,-8.27
Mr Perry,-8.271
happened to,-8.271
me a,-8.271
sake of,-8.272
favour of,-8.273
five minutes,-8.276
He did,-8.279
her from,-8.28
her the,-8.28
year <eos>,-8.281
soon be,-8.282
for your,-8.283
very happy,-8.284
very pretty,-8.284
see the,-8.286
<UNK> was,-8.287
<UNK> which,-8.287
the idea,-8.288
given her,-8.289
Marianne and,-8.29
side <eos>,-8.291
told you,-8.291
back again,-8.292
If you,-8.295
Lucy s,-8.295
down and,-8.295
together and,-8.295
less than,-8.296
what had,-8.296
Churchill <eos>,-8.297
take care,-8.297
an idea,-8.3
cried Marianne,-8.3
had had,-8.3
it has,-8.3
love <eos>,-8.303
said Marianne,-8.305
<sos> Harriet,-8.307
Elinor had,-8.309
have her,-8.309
him the,-8.309
be quite,-8.31
happy and,-8.311
at Barton,-8.313
at his,-8.313
never had,-8.314
being the,-8.317
or to,-8.317
better for,-8.318
think that,-8.318
come in,-8.319
She felt,-8.32
which it,-8.322
was an,-8.326
after the,-8.33
are so,-8.33
all in,-8.333
sure that,-8.334
only in,-8.336
thank you,-8.336
unable to,-8.336
Have you,-8.337
try to,-8.337
you all,-8.337
proof of,-8.338
a short,-8.341
in any,-8.342
delighted with,-8.343
spoken of,-8.343
Kellynch Hall,-8.345
and not,-8.345
without being,-8.345
Miss Musgroves,-8.348
use of,-8.348
Anne Elliot,-8.349
had already,-8.349
had always,-8.349
had given,-8.349
yourself <eos>,-8.349
as ever,-8.35
business <eos>,-8.35
directly <eos>,-8.35
let me,-8.351
end to,-8.353
one s,-8.353
set off,-8.353
from a,-8.354
daughter s,-8.355
name <eos>,-8.356
this <eos>,-8.356
has a,-8.357
brother <eos>,-8.36
have never,-8.364
their <UNK>,-8.365
thing else,-8.367
that <eos>,-8.368
that had,-8.368
that we,-8.368
was as,-8.369
family and,-8.372
look and,-8.372
but they,-8.373
A very,-8.374
Fairfax s,-8.374
body <eos>,-8.374
found it,-8.374
came in,-8.375
wish you,-8.376
<UNK> but,-8.377
and there,-8.377
is nothing,-8.377
while the,-8.377
Edward <eos>,-8.378
Edward and,-8.378
rather than,-8.379
saw him,-8.38
did <eos>,-8.381
did you,-8.381
with <eos>,-8.382
which could,-8.384
they have,-8.385
for <eos>,-8.386
for all,-8.386
friend of,-8.387
over and,-8.387
to leave,-8.387
them the,-8.388
It will,-8.394
give me,-8.394
give up,-8.394
mother <eos>,-8.394
me the,-8.396
when a,-8.397
shall have,-8.398
s account,-8.399
very glad,-8.399
had better,-8.4
had left,-8.4
had made,-8.4
there would,-8.401
<sos> cried,-8.403
as for,-8.403
as long,-8.403
only the,-8.403
her at,-8.405
her head,-8.405
on such,-8.406
the matter,-8.406
the only,-8.406
don t,-8.409
and after,-8.41
necessity of,-8.411
prospect of,-8.411
quarter of,-8.412
share of,-8.413
was his,-8.414
curiosity to,-8.417
have you,-8.42
one day,-8.42
Martin <eos>,-8.421
Randalls <eos>,-8.421
impossible for,-8.421
before I,-8.422
before and,-8.422
we should,-8.423
much better,-8.424
much for,-8.424
much the,-8.424
within a,-8.424
object to,-8.425
other and,-8.425
character <eos>,-8.426
could hardly,-8.426
door and,-8.426
nothing more,-8.426
<sos> At,-8.428
Highbury <eos>,-8.428
understand the,-8.428
him with,-8.429
were at,-8.43
than any,-8.431
but for,-8.432
but if,-8.432
comfort to,-8.433
Yes I,-8.434
is all,-8.436
is always,-8.436
right <eos>,-8.436
said to,-8.436
since the,-8.436
must go,-8.437
the greatest,-8.437
What a,-8.439
What is,-8.439
hear it,-8.441
hear of,-8.441
pleasure <eos>,-8.441
pleasure to,-8.441
letter from,-8.442
Wentworth <eos>,-8.443
and very,-8.443
family <eos>,-8.446
morning and,-8.447
till she,-8.447
Dashwood s,-8.448
which is,-8.448
which you,-8.448
few days,-8.449
herself with,-8.449
to look,-8.449
No I,-8.451
never was,-8.451
had <UNK>,-8.452
had taken,-8.452
had to,-8.452
who is,-8.452
all their,-8.454
moment of,-8.454
Mr Shepherd,-8.455
upon her,-8.457
having a,-8.458
Jane s,-8.459
go with,-8.46
